,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
106,-132512176,cluster_2187092103_2187092105,cluster_2187092134_2187092137,7,highway.secondary,"11011.67,7584.06 11153.46,7713.16 11187.40,7748.73",262.73,13.89,-132512176_0,2,7,7,7
107,-134706507#1,1556009057,1556009034,9,highway.primary,"11126.90,4676.05 11076.04,4570.21 11033.89,4484.87 11022.36,4452.66 11012.27,4415.13 11008.59,4381.51 11006.64,4345.52 11008.31,4323.47 11011.63,4300.64 11017.39,4274.86",434.51,19.44,-134706507#1_0,2,10,2,-1
108,-134706508,357635346,358200087,9,highway.primary,"10888.72,4064.98 10935.98,4051.92",57.37,19.44,-134706508_0,2,2,2,2
109,-134706509,357636533,357636148,7,highway.secondary,"10799.11,3983.95 10825.95,4038.71",83.26,13.89,-134706509_0,2,2,2,2
110,-135460132,1487726582,270751080,4,highway.residential,"10442.31,8695.87 10360.21,8841.62",175.26,13.89,-135460132_0,1,7,7,7
111,-135551080,1786363352,1493365637,3,highway.living_street,"9266.99,1429.09 9324.19,1429.79 9329.00,1431.45 9332.46,1434.60 9334.18,1438.44 9334.67,1444.37 9334.78,1492.05",125.45,2.78,-135551080_0,1,3,3,3
112,-136090782,277947820,1493365628,4,highway.residential,"8544.65,1604.11 8538.81,1607.60 8531.07,1616.15 8526.19,1626.60 8521.17,1638.60 8519.29,1649.43 8519.95,1659.46 8523.34,1678.54",99.15,8.33,-136090782_0,1,3,3,3
113,-137278434,55248947,469093812,4,highway.residential,"7539.10,7915.51 7551.12,7937.10",29.69,13.89,-137278434_0,1,6,6,6
114,-140582312#0,1540020122,1540020150,3,highway.living_street,"6667.61,8253.49 6668.09,8288.52",42.12,2.78,-140582312#0_0,1,8,8,8
115,-140582312#1,339180759,1540020122,3,highway.living_street,"6666.56,8171.33 6667.42,8239.09",82.59,2.78,-140582312#1_0,1,8,8,8
116,-140582313,1540020146,1540020157,3,highway.living_street,"6614.74,8252.61 6614.37,8284.85",39.47,2.78,-140582313_0,1,8,8,8
