,id,x,y,type,region
1170,306595836,9695.85,8203.83,priority,7
1171,306595841,9850.19,8041.58,priority,7
1172,306598337,9388.60,4536.25,priority,9
1173,306598366,8997.47,5165.04,priority,9
1174,306598372,8192.61,6340.08,priority,9
1175,306598373,8599.79,5836.10,right_before_left,9
1176,306598381,9002.19,5172.37,priority,9
1177,310010517,9323.95,8600.66,priority,6
1178,310010521,9205.14,8399.17,priority,6
1179,310997101,9267.78,8761.40,priority,6
1180,310997115,9259.98,8483.48,priority,6
1181,310997677,9217.48,8690.51,priority,6
1182,311966739,9244.58,8458.74,priority,6
1183,31383590,11150.51,4036.09,priority,2
1184,31383592,11326.42,3600.61,priority,2
1185,31383596,11403.82,3115.42,priority,2
1186,31383601,11904.65,1837.48,priority,2
1187,314765858,10515.09,10476.97,priority,5
1188,317047483,9718.43,3787.63,traffic_light,4
1189,317054899,10299.69,3643.13,priority,2
1190,317055858,10043.05,3630.81,priority,2
1191,317056497,10183.64,4114.43,priority,2
1192,317056517,10045.16,3666.85,priority,2
1193,317057739,10024.62,3818.20,priority,2
1194,317057744,10106.08,3815.89,priority,2
1195,317057872,10009.47,3710.26,priority,2
1196,317058136,9837.40,3726.60,priority,2
1197,317061101,9870.70,3834.28,priority,2
1198,317074079,9860.12,1778.97,priority,3
1199,317076736,9935.67,1705.57,priority,3
1200,317082637,9895.22,2180.87,priority,2
1201,317083208,9878.97,2095.75,priority,2
1202,317539001,10680.66,2112.81,priority,2
1203,317539407,10542.12,2305.68,right_before_left,2
1204,317539414,10493.83,2262.89,priority,2
1205,317539415,10488.78,2298.68,right_before_left,2
1206,317539502,10547.28,2264.38,priority,2
1207,317539672,10550.17,2248.19,priority,2
1208,317539675,10811.45,2378.99,priority,2
1209,317539737,10704.16,2277.24,priority,2
1210,317539821,11085.41,2376.33,priority,2
1211,317552901,11256.79,2242.10,priority,2
1212,317553085,10926.16,2301.61,priority,2
1213,317553091,10935.86,2288.38,priority,2
1214,317553111,10962.14,2293.61,priority,2
1215,317553113,11039.75,2223.86,priority,2
1216,317553688,11081.78,2184.38,priority,2
1217,317553689,11070.51,2225.12,priority,2
1218,317624104,8465.99,977.10,priority,3
1219,317626317,9079.99,1214.81,right_before_left,3
1220,317626478,8985.50,1305.60,priority,3
1221,317626820,9022.07,1300.42,right_before_left,3
1222,317627040,8992.04,1342.64,priority,3
1223,317627302,8994.44,1359.82,priority,3
1224,317627725,9015.08,1254.19,priority,3
1225,317627726,9026.19,1329.59,priority,3
1226,317628163,9278.56,2626.24,priority,4
1227,318135578,9911.65,2789.58,priority,2
1228,318135581,10256.60,2685.83,priority,2
1229,318136400,10264.49,2997.54,priority,2
1230,318136405,10157.63,2742.39,right_before_left,2
1231,318137853,10303.54,2548.22,priority,2
1232,318137854,10266.58,2522.03,right_before_left,2
1233,318137932,10287.13,2445.09,priority,2
1234,318138006,10231.29,2522.61,priority,2
1235,318138831,10376.90,2271.84,priority,2
1236,318139042,10495.76,2141.08,priority,2
1237,318139073,10452.94,2287.01,priority,2
1238,318139557,10469.64,2416.65,right_before_left,2
1239,318139746,10404.95,2383.95,right_before_left,2
1240,318140050,10495.39,2367.44,priority,2
1241,318140318,10544.91,2450.67,right_before_left,2
1242,318140322,10595.48,2473.70,right_before_left,2
1243,318140888,10707.59,2397.01,priority,2
1244,318140889,10687.48,2529.00,right_before_left,2
1245,318141238,10784.25,2541.64,priority,2
1246,318141400,10737.28,2435.95,right_before_left,2
1247,318141431,10732.51,2469.58,priority,2
1248,318141720,10805.91,2408.71,right_before_left,2
1249,318142071,10416.60,2498.41,right_before_left,2
1250,318142218,10506.27,2526.31,right_before_left,2
1251,318142530,10692.01,2588.04,priority,2
1252,318142531,10680.31,2669.92,right_before_left,2
1253,318143470,10526.71,3197.28,priority,2
1254,318143602,10359.11,3101.36,priority,2
1255,319971905,9091.52,10125.50,priority,5
1256,320323757,9313.13,1875.38,priority,3
1257,320328862,9301.40,1351.41,priority,3
1258,320329257,9285.15,1250.60,priority,3
1259,320330186,9188.65,1352.17,priority,3
1260,320332159,9155.23,955.03,priority,3
1261,320380058,9805.25,2501.08,priority,2
1262,320380060,9772.13,2506.35,priority,2
1263,320380190,9713.60,2524.56,priority,2
1264,320380896,9648.73,2383.27,priority,2
1265,320381996,9522.76,1389.10,right_before_left,3
1266,320382347,9596.38,1370.59,right_before_left,3
1267,320382348,9632.97,1215.51,right_before_left,3
1268,320382648,9672.65,1376.12,right_before_left,3
1269,320383179,9720.41,1239.90,right_before_left,3
1270,320383435,9803.13,1267.06,right_before_left,3
1271,320383760,9670.70,1174.42,priority,3
1272,320383762,9662.35,1222.01,right_before_left,3
1273,320389251,11208.23,2020.66,priority,2
1274,320389254,11224.39,2053.19,priority,2
1275,320614789,9618.42,7875.29,priority,7
1276,320614887,9651.16,7938.41,priority,7
1277,321355344,8775.30,6065.74,priority,9
1278,322702260,12071.37,7408.65,priority,7
1279,322702288,12125.99,7462.60,priority,7
1280,323832069,4843.20,2076.30,priority,11
1281,324247699,4253.40,10089.58,right_before_left,0
1282,324258453,3725.81,8998.83,priority,1
1283,3246226082,2697.74,4519.61,priority,1
1284,325083400,4479.92,10006.80,priority,0
1285,325112906,5034.75,1686.30,priority,11
1286,325112921,5209.55,1864.73,priority,11
1287,325115134,5156.36,3001.45,priority,11
1288,325115145,4766.53,3519.77,priority,1
1289,325667569,9341.88,8673.42,priority,6
1290,325667571,9307.01,8558.13,priority,6
1291,332791210,9636.26,3506.86,priority,4
1292,332791222,9595.50,3491.71,priority,4
1293,332792061,9595.88,3396.06,priority,4
1294,332792211,9645.38,3435.40,traffic_light,4
1295,332793390,9370.71,5259.43,priority,9
1296,332793401,9358.59,4798.43,priority,9
1297,334127420,11492.77,8502.12,priority,7
1298,334127440,11516.57,8421.53,priority,7
1299,3351978671,11941.50,1677.30,dead_end,2
1300,3351978672,11834.37,2017.31,dead_end,2
1301,3351978676,11790.63,2178.47,priority,2
1302,3351978677,11636.20,2487.78,priority,2
1303,335757844,11613.86,5572.90,traffic_light,10
1304,335757851,11701.89,5555.47,priority,10
1305,335757857,11728.82,5588.44,priority,10
1306,335758190,11652.44,5475.45,priority,10
1307,335759709,11577.72,5488.70,priority,10
1308,335762261,11482.47,5390.63,priority,10
1309,335762686,11219.41,5276.10,right_before_left,10
1310,335762701,11374.85,5381.85,right_before_left,10
1311,335763476,11655.15,5689.60,priority,10
1312,335768396,11703.94,5822.13,traffic_light,10
1313,335768401,11748.40,5821.27,traffic_light,10
1314,335768427,11731.14,5902.35,priority,10
1315,335770716,11898.71,5771.35,priority,10
1316,335890667,10116.63,8329.81,priority,7
1317,335890672,10096.81,8333.98,priority,7
1318,335891143,10750.06,8422.76,priority,7
1319,335892757,10900.24,8501.64,priority,7
1320,339136685,4765.04,8875.14,priority,1
1321,339136693,4865.28,8727.84,priority,1
1322,339136778,4826.50,8891.89,right_before_left,1
1323,339136925,4923.00,9129.08,priority,0
1324,339136929,5019.21,9038.47,priority,0
1325,339137086,5453.74,9003.21,priority,8
1326,339137244,5212.60,8848.83,priority,8
1327,339137247,5167.05,8908.70,priority,8
1328,339137634,5450.88,8626.63,priority,8
1329,339137847,5608.39,8843.49,priority,8
1330,339137929,6029.46,8590.27,priority,8
1331,339138004,5680.45,8473.23,priority,8
1332,339138158,5660.28,8480.73,priority,8
1333,339138177,5684.80,8769.77,priority,8
1334,339138702,5880.04,8513.57,priority,8
1335,339138706,5952.47,8625.31,priority,8
1336,339138861,5407.48,9049.59,priority,8
1337,339138942,5152.98,9514.72,priority,0
1338,339139025,5317.76,9274.35,priority,0
1339,339139131,5886.49,8521.86,priority,8
1340,339139159,5849.12,8633.78,priority,8
1341,339139383,5827.43,8501.89,priority,8
1342,339139393,5712.20,8609.89,priority,8
1343,339139505,5273.60,8436.12,priority,8
1344,339140968,8318.60,7412.75,priority,9
1345,339173984,5457.96,8452.06,priority,8
1346,339174132,5457.29,8283.01,priority,8
1347,339174304,5632.89,8331.24,priority,8
1348,339175295,5325.13,8923.37,priority,8
1349,339180444,6767.22,8023.17,priority,8
1350,339180759,6664.87,8163.84,priority,8
1351,339180774,7294.37,8077.94,priority,8
1352,339180946,6812.06,8097.86,priority,8
1353,339309857,4843.16,8576.28,priority,1
1354,339309860,4797.72,8667.85,priority,1
1355,339522739,9845.64,2366.95,priority,2
1356,339668602,8156.76,7191.34,priority,9
1357,339668610,7927.60,7181.74,right_before_left,9
1358,339668644,8139.68,7222.83,priority,9
1359,339668950,7651.57,7089.80,priority,9
1360,339669409,8652.73,7354.26,priority,6
1361,339669412,8606.63,7333.28,priority,6
1362,339684867,5779.09,8710.26,priority,8
1363,339687071,5148.90,9170.21,priority,0
1364,339687072,5143.89,9173.82,priority,0
1365,339687074,5130.80,9169.79,priority,0
1366,339687076,5131.97,9156.07,priority,0
1367,339715849,7352.66,8090.22,traffic_light,8
1368,339719633,8034.91,7359.83,priority,9
1369,339719984,8248.22,7497.90,priority,9
1370,339875390,4840.15,9070.90,priority,0
1371,340098893,8105.16,7652.75,traffic_light,6
1372,340159771,11945.64,5547.12,priority,10
1373,3428308031,10220.55,7720.67,priority,7
1374,3428308034,10369.09,7616.16,priority,7
1375,3428308038,10303.91,7694.47,priority,7
1376,3428317392,10358.49,7679.67,priority,7
1377,3428325995,10458.81,7756.50,priority,7
1378,3428325996,10392.63,7703.54,priority,7
1379,3428325998,10430.94,7569.63,priority,7
1380,3428428481,10326.17,7450.58,priority,7
1381,3428428487,10327.32,7317.58,priority,7
1382,3428431939,10378.75,7559.42,priority,7
1383,3428431942,10401.29,7249.57,priority,7
1384,3428431943,10428.71,7388.61,priority,7
1385,3428431945,10369.45,7258.69,priority,7
1386,3428431946,10280.84,7440.43,priority,7
1387,342994694,8764.18,7247.86,priority,6
1388,342996691,9020.89,6876.36,priority,6
